Electoral district number - Numéro de la circonscription,Electoral district name,Type of results*,Surname - Nom de famille,Given name - Prénom,Political affiliation,Votes obtained - Votes obtenus,% Votes obtained - Votes obtenus %,Rejected ballots - Bulletins rejetés***,Total number of ballots cast - Nombre total de votes déposés,Province,,,,,
48017,Edmonton Mill Woods,judicially certified,Deol,Jasvir,NDP-New Democratic Party,6330,12.8,227,49744,Alberta,,Conservative,1150101,59.57%,24
48017,Edmonton Mill Woods,judicially certified,Downing,Peter,Christian Heritage Party,285,0.6,227,49744,Alberta,,Green Party,48742,2.52%,0
48017,Edmonton Mill Woods,judicially certified,McLean,Ralph,Green Party,1096,2.2,227,49744,Alberta,,Liberal,473416,24.52%,4
48017,Edmonton Mill Woods,judicially certified,Paley,Allen K.W.,Libertarian,396,0.8,227,49744,Alberta,,NDP-New Democratic Party,218470,11.32%,1
48017,Edmonton Mill Woods,judicially certified,Rankin,Naomi,Communist,96,0.2,227,49744,Alberta,,,,,
48017,Edmonton Mill Woods,judicially certified,Sohi,Amarjeet,Liberal,20423,41.2,227,49744,Alberta,,,,,
48017,Edmonton Mill Woods,judicially certified,Stubbs,Colin,Independent,560,1.1,227,49744,Alberta,,,,,
48017,Edmonton Mill Woods,judicially certified,Uppal,Tim,Conservative,20331,41.1,227,49744,Alberta,,,,,
48001,Banff--Airdrie,validated,Boissonneault,Joanne,NDP-New Democratic Party,4521,6.8,179,66817,Alberta,,,,,
48001,Banff--Airdrie,validated,MacDonald,Mike,Green Party,2509,3.8,179,66817,Alberta,,,,,
48001,Banff--Airdrie,validated,Raynolds,Marlo,Liberal,17380,26.1,179,66817,Alberta,,,,,
48001,Banff--Airdrie,validated,Richards,Blake,Conservative,42228,63.4,179,66817,Alberta,,,,,
48002,Battle River--Crowfoot,validated,Kelly,Gary,Green Party,1868,3.2,160,58929,Alberta,,,,,
48002,Battle River--Crowfoot,validated,Kowalski,Andy,Liberal,5505,9.4,160,58929,Alberta,,,,,
48002,Battle River--Crowfoot,validated,Sorenson,Kevin,Conservative,47552,80.9,160,58929,Alberta,,,,,
48002,Battle River--Crowfoot,validated,Swampy,Katherine,NDP-New Democratic Party,3844,6.5,160,58929,Alberta,,,,,
48003,Bow River,validated,Alexander,William MacDonald,Liberal,6840,13.7,151,50139,Alberta,,,,,
48003,Bow River,validated,Fromholt,Rita Ann,Green Party,919,1.8,151,50139,Alberta,,,,,
48003,Bow River,validated,Khalid,Fahed,Democratic Advancement,83,0.2,151,50139,Alberta,,,,,
48003,Bow River,validated,Kucy,Andrew,Independent,543,1.1,151,50139,Alberta,,,,,
48003,Bow River,validated,MacWilliam,Lynn,NDP-New Democratic Party,2622,5.2,151,50139,Alberta,,,,,
48003,Bow River,validated,Shields,Martin,Conservative,38701,77.4,151,50139,Alberta,,,,,
48003,Bow River,validated,VandeStroet,Frans,Christian Heritage Party,280,0.6,151,50139,Alberta,,,,,
48004,Calgary Centre,validated,Boonlert,Thana,Green Party,1347,2.2,227,61476,Alberta,,,,,
48004,Calgary Centre,validated,Crockatt,Joan,Conservative,27746,45.3,227,61476,Alberta,,,,,
48004,Calgary Centre,validated,Hehr,Kent,Liberal,28496,46.5,227,61476,Alberta,,,,,
48004,Calgary Centre,validated,Henderson,Yogi,Independent,248,0.4,227,61476,Alberta,,,,,
48004,Calgary Centre,validated,Ratti,Jillian,NDP-New Democratic Party,3412,5.6,227,61476,Alberta,,,,,
48005,Calgary Confederation,validated,Grant,Matt,Liberal,29083,43.5,216,67024,Alberta,,,,,
48005,Calgary Confederation,validated,Heuser,Kirk,NDP-New Democratic Party,4770,7.1,216,67024,Alberta,,,,,
48005,Calgary Confederation,validated,Hunter,Kevan,Marxist-Leninist,140,0.2,216,67024,Alberta,,,,,
48005,Calgary Confederation,validated,Odd,Natalie,Green Party,2146,3.2,216,67024,Alberta,,,,,
48005,Calgary Confederation,validated,Webber,Len,Conservative,30669,45.9,216,67024,Alberta,,,,,
48006,Calgary Forest Lawn,validated,Badura,Matt,Libertarian,832,2,345,41392,Alberta,,,,,
48006,Calgary Forest Lawn,validated,Devine,Jason,Communist,390,1,345,41392,Alberta,,,,,
48006,Calgary Forest Lawn,validated,Hansell,Judson,Green Party,1229,3,345,41392,Alberta,,,,,
48006,Calgary Forest Lawn,validated,Obhrai,Deepak,Conservative,19694,48,345,41392,Alberta,,,,,
48006,Calgary Forest Lawn,validated,Souraya,Abdou,NDP-New Democratic Party,4006,9.8,345,41392,Alberta,,,,,
48006,Calgary Forest Lawn,validated,Stewart,Cam,Liberal,14762,36,345,41392,Alberta,,,,,
48006,Calgary Forest Lawn,validated,Veress,Max,Democratic Advancement,134,0.3,345,41392,Alberta,,,,,
48007,Calgary Heritage,validated,Christie,Kelly,Green Party,1246,2.1,228,58658,Alberta,,,,,
48007,Calgary Heritage,validated,Duchastel de Montrouge,Nicolas,Independent,61,0.1,228,58658,Alberta,,,,,
48007,Calgary Heritage,validated,Harper,Stephen J.,Conservative,37263,63.8,228,58658,Alberta,,,,,
48007,Calgary Heritage,validated,Heather,Larry R.,Independent,114,0.2,228,58658,Alberta,,,,,
48007,Calgary Heritage,validated,Masters Burgener,Matt,NDP-New Democratic Party,4255,7.3,228,58658,Alberta,,,,,
48007,Calgary Heritage,validated,Miles,Brendan,Liberal,15172,26,228,58658,Alberta,,,,,
48007,Calgary Heritage,validated,Paolasini,Steven,Libertarian,246,0.4,228,58658,Alberta,,,,,
48007,Calgary Heritage,validated,Zepik,Korry,Independent,73,0.1,228,58658,Alberta,,,,,
48008,Calgary Midnapore,validated,Askin,Peggy,Marxist-Leninist,145,0.2,179,63741,Alberta,,,,,
48008,Calgary Midnapore,validated,Brown,Haley,Liberal,14396,22.6,179,63741,Alberta,,,,,
48008,Calgary Midnapore,validated,Kenney,Jason,Conservative,42415,66.7,179,63741,Alberta,,,,,
48008,Calgary Midnapore,validated,Wauters,Brennan,Green Party,1691,2.7,179,63741,Alberta,,,,,
48008,Calgary Midnapore,validated,Weston,Laura,NDP-New Democratic Party,4915,7.7,179,63741,Alberta,,,,,
48009,Calgary Nose Hill,validated,Butt,Faizan,Democratic Advancement,184,0.3,255,54817,Alberta,,,,,
48009,Calgary Nose Hill,validated,Gao,Edward,Libertarian,727,1.3,255,54817,Alberta,,,,,
48009,Calgary Nose Hill,validated,Kaufman,Bruce,NDP-New Democratic Party,4836,8.9,255,54817,Alberta,,,,,
48009,Calgary Nose Hill,validated,Prcic,Robert,Liberal,14671,26.9,255,54817,Alberta,,,,,
48009,Calgary Nose Hill,validated,Rempel,Michelle,Conservative,32760,60,255,54817,Alberta,,,,,
48009,Calgary Nose Hill,validated,Scheer,Laurie,Green Party,1384,2.5,255,54817,Alberta,,,,,
48010,Calgary Rocky Ridge,validated,Kelly,Pat,Conservative,38229,60.4,167,63459,Alberta,,,,,
48010,Calgary Rocky Ridge,validated,Kot,Stephanie,NDP-New Democratic Party,3665,5.8,167,63459,Alberta,,,,,
48010,Calgary Rocky Ridge,validated,Naidoo,Nirmala,Liberal,20038,31.7,167,63459,Alberta,,,,,
